Time,bit-x,bitbay,bitfinex,bitstamp,cex.io,coinbase,exmo,gemini,itbit,kraken
2018-10-13 16:00:00 UTC,6205.27046391752,,6322.45401320109,6205.52742514969,6322.09519650656,6202.77145532366,6441.92557320527,6207.27043478261,6207.2085106383,6206.31546391753
2018-10-13 17:00:00 UTC,6204.8818125,,6318.30942868943,6204.87247524753,6321.33509433963,6202.86837725373,6443.82160685909,6205.88666666667,6205.37221311476,6202.59620253164
2018-10-13 18:00:00 UTC,6200.16062857143,,6313.68876450915,6196.65436548224,6320.70781250002,6199.62522023552,6450.90299372526,6200.5933,6199.344,6193.5514450867
2018-10-13 19:00:00 UTC,6195.99892045454,,6307.76946372726,6195.18113513514,6311.77934362934,6195.79929552497,6450.46373103968,6193.96177419355,6196.64166666667,6194.65454545455
2018-10-13 20:00:00 UTC,6191.83836158192,,6312.18840419467,6192.06918918919,6316.28417266187,6194.56275822917,6442.1568943822,6197.50511111111,6198.55863636364,6196.7393442623
2018-10-13 21:00:00 UTC,6192.25812154696,,6313.99686928348,6191.29747311828,6318.46829268293,6196.44324353459,6450.46712370102,6190.98758823528,6195.96958333333,6198.45161290323
2018-10-13 22:00:00 UTC,6196.78625,,6321.63366861021,6196.14733870968,6318.21558752997,6198.62550245637,6448.10753840493,6190.99353535354,6194.015,6197.04157303371
2018-10-13 23:00:00 UTC,6199.7215819209,,6326.03869365231,6198.29027210885,6323.09457013575,6198.56668762088,6451.2500000015,6194.99950819672,6198.99684210526,6197.9262295082
2018-10-14 00:00:00 UTC,6197.02033519553,,6324.13848250007,6198.23223214286,6321.58852097131,6198.81015339226,6452.31076363727,6194.79514285714,6197.4495,6195.71875
2018-10-14 01:00:00 UTC,6198.79321428572,,6326.33263584716,6199.00822222222,6323.00142180094,6201.42593769082,6450.98485714905,6199.22882978723,6199.90712121212,6198.13448275862
2018-10-14 02:00:00 UTC,6200.37674157304,,6329.21169492597,6199.91174311926,6326.29077669901,6203.37660240962,6454.34006850458,6207.17426540287,6199.99919354839,6202.41020408163
2018-10-14 03:00:00 UTC,6214.49824858757,,6355.74137608971,6216.15077777779,6338.33768939392,6217.01452544035,6470.49605069135,6220.47387500001,6212.56285714286,6219.05631067961
2018-10-14 04:00:00 UTC,6247.66789772727,,6385.31102781306,6267.04092953522,6365.21820330969,6249.11700754004,6499.6321441516,6255.09558208957,6252.80033057851,6257.90442477875
2018-10-14 05:00:00 UTC,6255.31454022989,,6392.35306172709,6255.37365269461,6378.28283333334,6260.13421422987,6507.226216209,6259.41252631579,6254.16149253731,6257.07571428571
2018-10-14 06:00:00 UTC,6244.35454545454,,6383.13160161123,6243.25070588235,6377.7,6248.4922083333,6501.43407352949,6250.54775,6245.03769230769,6244.83370786517
2018-10-14 07:00:00 UTC,6241.85482758621,,6381.34984074885,6242.89255102041,6374.19049676022,6243.63708165998,6503.09523193486,6243.06070093458,6242.026875,6241.19166666666
2018-10-14 08:00:00 UTC,6241.07112299465,,6374.88191785552,6240.24681818182,6374.73627906974,6243.57138738739,6488.01814954872,6239.78522727273,6238.65565217391,6238.78333333332
2018-10-14 09:00:00 UTC,6230.1875,,6364.10764972636,6230.05766233766,6373.99002036659,6234.39314641745,6503.85840021772,6229.60880794702,6229.21317073171,6229.08938053098
2018-10-14 10:00:00 UTC,6224.99252631579,,6359.18275234566,6224.6280487805,6362.14705882352,6226.48675438596,6483.29559940629,6220.6740860215,6224.52235294118,6226.0628318584
2018-10-14 11:00:00 UTC,6216.52054945055,,6352.09093738963,6215.83330578513,6350.69676806083,6216.3286469072,6469.87656232197,6216.98890909091,6215.5675,6217.1380952381
2018-10-14 12:00:00 UTC,6227.514,,6359.90594675822,6229.96376884422,6357.43223529412,6228.77124229075,6489.2405723618,6224.88863013698,6223.65235849057,6227.71911764706
2018-10-14 13:00:00 UTC,6226.51483695652,,6365.42304649752,6226.54791907514,6351.13827433628,6229.08879058442,6502.10483647937,6231.11348484849,6227.77967213115,6230.01375
2018-10-14 14:00:00 UTC,6222.70725146199,,6362.78634121046,6222.69938144329,6348.60856481482,6224.46308131243,6506.61313652587,6226.6945945946,6225.46462686567,6223.54285714286
2018-10-14 15:00:00 UTC,6233.26681564246,,6368.35342288512,6233.40672268908,6359.7286956522,6233.20956127079,6487.76898402067,6234.4375,6234.90367088608,6229.61360759494
2018-10-14 16:00:00 UTC,6238.02139664804,,6384.39879027484,6237.664,6367.66312217195,6242.06054164531,6498.22869063587,6241.60704225352,6242.2575,6238.71794871795
2018-10-14 17:00:00 UTC,6235.93685714286,,6380.42180232006,6235.36015679442,6372.89434343435,6238.21251643753,6490.05111963784,6236.60294117646,6238.64397058823,6238.06431718062
2018-10-14 18:00:00 UTC,6238.90254237288,,6387.62630179315,6239.49386363637,6374.42336448598,6238.82680994298,6490.7825890329,6237.78352272727,6239.25105263158,6237.62470119522
2018-10-14 19:00:00 UTC,6243.10748743719,,6394.73383751757,6242.14770370369,6383.74873096446,6241.68776464271,6494.71907886652,6241.59295454546,6242.75085106383,6245.48224637682
2018-10-14 20:00:00 UTC,6229.61757225434,,6368.8379878415,6216.31909365559,6371.09322268327,6232.89325814538,6490.63679198226,6222.90598425198,6222.08651685393,6221.22499999999
2018-10-14 21:00:00 UTC,6206.76871657754,,6350.8950983521,6206.7958119658,6354.69065108514,6210.6690177638,6465.26736462695,6204.25142105266,6207.19193548387,6204.69319371728
2018-10-14 22:00:00 UTC,6209.86162162162,,6358.79589447333,6208.58433862434,6367.10768049155,6207.93075482097,6474.23365481152,6209.6657615894,6207.08729927007,6211.28552631579
2018-10-14 23:00:00 UTC,6205.53375,,6332.80352804386,6173.95483490566,6344.02936170212,6183.83746827198,6459.66634430552,6176.64736334405,6187.46316498317,6181.76511627907
2018-10-15 00:00:00 UTC,6208.98,,6317.01324036277,6176.48242105262,6319.15902061856,6173.50599470668,6464.90343259044,6171.61845637584,6172.50099502488,6175.11670281995
2018-10-15 01:00:00 UTC,6208.99772727273,,6364.25943939053,6198.91447019867,6350.20408163266,6200.7069379845,6480.45156717188,6203.07839147287,6198.3677735849,6205.09254385966
2018-10-15 02:00:00 UTC,6207.40479166667,,6370.11018510456,6202.59311594204,6365.21391465677,6204.57580751482,6498.34718070395,6208.01026645768,6200.77388059702,6204.69936305732
2018-10-15 03:00:00 UTC,6211.01369791667,,6371.62239183223,6208.60925925926,6366.88471986417,6210.21786918402,6503.07552641774,6210.03152892562,6202.86220588236,6206.33395061728
2018-10-15 04:00:00 UTC,6213.82352272727,,6382.41439469125,6213.79710000001,6370.40912951169,6213.78335186656,6509.38126286554,6211.38688679245,6205.62611650485,6210.86385964914
2018-10-15 05:00:00 UTC,6268.97137096774,,6582.81519537243,6310.32767668879,6465.48978260869,6306.74913338087,6639.64742690688,6309.36444740346,6307.27456678699,6325.46866799206
2018-10-15 06:00:00 UTC,6559.64740740741,,7178.36839780263,6591.82560284645,6850.60305646285,6610.78706615605,7034.02540665501,6606.51299325465,6562.1367280379,6608.04322519086
2018-10-15 07:00:00 UTC,6499.61582089552,,7115.69281219271,6513.3374282268,6825.07860411902,6506.74916881772,7023.3218512322,6491.06380851065,6475.68609461967,6508.02730640327
2018-10-15 08:00:00 UTC,6422.79237623762,,6879.78571448125,6423.19736375159,6650.12187330807,6423.67214132104,6799.11179780307,6424.68837708831,6389.33354166667,6414.2183270677
2018-10-15 09:00:00 UTC,6376.44277777778,,6795.59509225697,6396.57205104831,6635.3983651226,6397.30288946014,6697.59555949474,6393.23599999999,6344.97949685535,6395.05
2018-10-15 10:00:00 UTC,6418.75705882353,,6868.83926948799,6424.98595520422,6694.36413137426,6427.03628179042,6784.25881736059,6419.91,6406.77303921568,6423.94936530323
2018-10-15 11:00:00 UTC,6423.03468571429,,6942.82981508279,6420.7391077258,6730.12083333336,6417.74575408259,6825.96345548738,6424.63266409268,6418.25044025157,6418.54347258487
2018-10-15 12:00:00 UTC,6405.30005882353,,6929.82326847133,6402.51029239766,6689.70776699026,6402.01353707867,6730.47037196107,6401.77078804348,6393.59189781022,6396.67051705172
2018-10-15 13:00:00 UTC,6397.16482954545,,6920.23829103223,6396.53073288332,6611.19266968324,6391.28788336937,6582.30792372357,6391.16249275362,6389.8889,6393.57935409459
2018-10-15 14:00:00 UTC,6383.35784090909,,6895.29964765246,6382.15099273609,6576.4542997543,6383.69238864808,6593.39727281222,6378.08571171586,6380.22901515152,6380.5639896373
2018-10-15 15:00:00 UTC,6387.44827380952,,6872.36199963978,6388.01113207547,6582.47887154862,6383.2816147082,6618.18808503105,6377.89331738437,6382.9893258427,6385.06367851623
2018-10-15 16:00:00 UTC,6408.53951086957,,6897.99789942488,6408.35387650086,6544.63766976409,6410.27453590786,6641.87990806744,6405.25493065657,6411.94109947645,6412.02563237773
2018-10-15 17:00:00 UTC,6408.92526011561,,6887.0956525141,6408.67492800002,6516.36437994722,6409.26313224269,6645.45017454528,6409.82295514513,6407.60096256685,6410.1865443425
